registered,propensity,pres,gov,sen,party_reg,gender,age,hisp,race,educ,pres16,house18,county
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Other,Female,26 ,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Union
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Unaffiliated,Female,64 ,No,White,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",The Republican party candidate,Beaufort
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,50 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
Yes,I am 100% certain I will vote,Undecided,Undecided,"Cal Cunningham, the Democrat",Democratic,Female,34 ,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
Not sure,I will definitely not vote,Undecided,Undecided,"Cal Cunningham, the Democrat",Democratic,Female,28 ,No,Asian,"Bachelor's degree (e.g. BA, BS)",Did not vote,Did not vote,Wake
Yes,I am 100% certain I will vote,"Donald Trump, the Republican",Undecided,Undecided,Republican,Female,37 ,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Davidson
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,Undecided,Unaffiliated,Female,28 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",Unsure / Don't remember,Wake
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,56 ,No,White,High school degree or equivalent (e.g. GED),"Hillary Clinton, the Democrat",The Democratic party candidate,Watauga
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Unaffiliated,Female,47 ,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,Unsure / Don't remember,Forsyth
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,36 ,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Nash
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Roy Cooper, the Democrat",Undecided,Democratic,Female,31 ,No,White,High school degree or equivalent (e.g. GED),"Donald Trump, the Republican",The Republican party candidate,Hertford
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,23 ,No,White,High school degree or equivalent (e.g. GED),"Hillary Clinton, the Democrat",The Democratic party candidate,Catawba
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,27 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Watauga
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,40 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,62 ,Yes,Black or African American,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Northampton
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,55 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,47 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Union
No,I will probably not vote,"Joe Biden, the Democrat",Undecided,Undecided,Unaffiliated,Male,20 ,No,Asian,"Associate degree (e.g. AA, AS)",Did not vote,Did not vote,Forsyth
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,38 ,No,White,"Some college, no degree","Hillary Clinton, the Democrat",,Wilkes
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat",Undecided,Democratic,Male,38 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Buncombe
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Thom Tillis, the Republican",Republican,Female,55 ,No,White,High school degree or equivalent (e.g. GED),Someone else,The Republican party candidate,Union
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,40 ,No,Asian,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,30 ,Yes,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Greene
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,44 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Catawba
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,34 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Did not vote,Union
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat",Undecided,Unaffiliated,Female,32 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",Unsure / Don't remember,Onslow
Yes,I am likely to vote,"Donald Trump, the Republican","Roy Cooper, the Democrat","Thom Tillis, the Republican",Republican,Male,51 ,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Washington
Yes,I am 100% certain I will vote,Undecided,"Roy Cooper, the Democrat",Undecided,Democratic,Female,57 ,No,White,"Associate degree (e.g. AA, AS)",Did not vote,Unsure / Don't remember,Buncombe
Yes,I am 100% certain I will vote,"Donald Trump, the Republican",Some other candidate,Some other candidate,Other,Female,30 ,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,Someone else,Craven
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,33 ,No,White,"Associate degree (e.g. AA, AS)",Someone else,The Democratic party candidate,Caswell
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,30 ,No,White,"Doctorate or professional degree (e.g. MD, DDS, PhD)",Did not vote,The Democratic party candidate,Wake
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,35 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Cleveland
Yes,I am 100% certain I will vote,Some other candidate,"Dan Forest, the Republican","Cal Cunningham, the Democrat",Democratic,Male,41 ,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,Did not vote,Davie
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,29 ,No,Asian,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Guilford
Yes,I am 100% certain I will vote,Undecided,"Roy Cooper, the Democrat","Thom Tillis, the Republican",Republican,Male,32 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Republican party candidate,Buncombe
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,55 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,43 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Cabarrus
Yes,I will probably not vote,Some other candidate,"Roy Cooper, the Democrat",Undecided,Democratic,Female,47 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Did not vote,Orange
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,39 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Surry
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,45 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Roy Cooper, the Democrat",Some other candidate,Democratic,Female,35 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Gaston
Yes,I am 100% certain I will vote,Undecided,Undecided,Undecided,Democratic,Female,26 ,No,White,"Some college, no degree","Donald Trump, the Republican",The Republican party candidate,Washington
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,43 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Republican party candidate,Forsyth
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,51 ,No,White,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",The Republican party candidate,Montgomery
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,27 ,Yes,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Forsyth
Yes,I am likely to vote,"Joe Biden, the Democrat","Dan Forest, the Republican",Undecided,Republican,Female,60 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Unsure / Don't remember,Wake
Yes,I am likely to vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat",Undecided,Democratic,Male,30 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Cleveland
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Other,Female,67 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",Did not vote,Wake
Yes,50/50,"Joe Biden, the Democrat",Undecided,Undecided,Democratic,Female,43 ,No,White,"Some college, no degree",Did not vote,Did not vote,Pasquotank
Yes,I am 100% certain I will vote,Some other candidate,"Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,36 ,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Someone else,The Democratic party candidate,Wake
Yes,I am likely to vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,29 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Northampton
Yes,I am 100% certain I will vote,Some other candidate,"Roy Cooper, the Democrat",Undecided,Other,Male,27 ,No,White,"Master's degree (e.g. MA, MS, MEd)",Someone else,Did not vote,Mecklenburg
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,26 ,Yes,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Democratic party candidate,Caswell
Yes,50/50,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,45 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Richmond
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,64 ,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,35 ,No,White,High school degree or equivalent (e.g. GED),"Hillary Clinton, the Democrat",The Democratic party candidate,Rowan
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,50 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Republican party candidate,Wake
Yes,I am likely to vote,Some other candidate,"Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,26 ,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Did not vote,The Democratic party candidate,Halifax
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,37 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Richmond
Yes,I am likely to vote,Some other candidate,"Roy Cooper, the Democrat",Undecided,Unaffiliated,Male,22 ,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Did not vote,The Democratic party candidate,Orange
Not sure,I am 100% certain I will vote,Undecided,Undecided,"Thom Tillis, the Republican",Unaffiliated,Female,32 ,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Did not vote,Did not vote,Wake
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,27 ,No,Black or African American,"Associate degree (e.g. AA, AS)","Hillary Clinton, the Democrat",The Democratic party candidate,Guilford
Yes,I will probably not vote,Undecided,"Roy Cooper, the Democrat",Undecided,Democratic,Male,43 ,No,White,"Master's degree (e.g. MA, MS, MEd)",Did not vote,The Republican party candidate,Mecklenburg
Yes,I am 100% certain I will vote,Undecided,"Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,28 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,63 ,No,White,"Bachelor's degree (e.g. BA, BS)",Did not vote,Did not vote,Cumberland
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,21 ,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Cumberland
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,39 ,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Cumberland
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,42 ,No,American Indian or Alaska Native,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Union
Yes,I am likely to vote,"Donald Trump, the Republican","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,27 ,Yes,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Camden
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,28 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Davie
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,24 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Columbus
Yes,I am likely to vote,"Donald Trump, the Republican","Dan Forest, the Republican",Some other candidate,Republican,,18 ,No,White,High school degree or equivalent (e.g. GED),"Donald Trump, the Republican",The Republican party candidate,Carteret
Yes,50/50,Undecided,"Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,37 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Guilford
Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Other,Male,64 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Alexander
Yes,I am 100% certain I will vote,Some other candidate,Some other candidate,Some other candidate,Republican,Male,51 ,Yes,White,"Bachelor's degree (e.g. BA, BS)",Someone else,The Democratic party candidate,Alleghany
